ID,Titulo,ISBN,Autor,Sinopsis,Genero,Editorial,Numero de paginas,Serie,fecha de publicación,Precio
1,Don Quijote de la Mancha,9788420412146,Miguel de Cervantes,Las aventuras de un caballero loco y su fiel escudero.,Clásico,Alfaguara,1032,No,1605-01-16,22.95
2,Cien años de soledad,9788439733478,Gabriel García Márquez,La historia de las generaciones de la familia Buendía en Macondo.,Realismo Mágico,Random House,496,No,1667-05-30,18.90
3,1984,9788499890944,George Orwell,Un futuro distópico donde el Gran Hermano vigila todo.,Distopía,Debolsillo,352,No,1949-06-08,9.95
4,Orgullo y prejuicio,9788415618768,Jane Austen,La tormentosa relación entre Elizabeth Bennet y el señor Darcy.,Romance Clásico,Alba Editorial,448,No,1813-01-28,12.50
5,El Señor de los Anillos: La Comunidad del Anillo,9788445071755,J.R.R. Tolkien,Un hobbit hereda un anillo que debe destruir para salvar su mundo.,Fantasía,Minotauro,432,El Señor de los Anillos,1954-07-29,21.00
6,Harry Potter y la piedra filosofal,9788418173004,J.K. Rowling,Un niño huérfano descubre que es mago y asiste a Hogwarts.,Fantasía,Salamandra,256,Harry Potter,1997-06-26,15.95
7,Crónica de una muerte anunciada,9788439734079,Gabriel García Márquez,La reconstrucción del asesinato de Santiago Nasar.,Novela,Random House,144,No,1981-03-01,11.95
8,Crimen y castigo,9788415618218,Fiódor Dostoyevski,Un joven estudiante mata a una usurera y sufre por su culpa.,Clásico,Alba Editorial,696,No,1866-01-01,14.00
9,El principito,9788498381498,Antoine de Saint-Exupéry,Un piloto varado conoce a un joven príncipe de otro planeta.,Fábula,Salamandra,96,No,1943-04-06,7.95
10,Fahrenheit 451,9788490321478,Ray Bradbury,Un bombero encargado de quemar libros empieza a cuestionar su labor.,Distopía,Debolsillo,192,No,1953-10-19,8.95
11,El código Da Vinci,9788408175520,Dan Brown,Un asesinato en el Louvre revela una conspiración religiosa.,Suspense,Planeta,576,Robert Langdon,2003-03-18,19.90
12,El resplandor,9788490328729,Stephen King,Un hombre se convierte en el cuidador de un hotel maldito.,Terror,Debolsillo,688,The Shining,1977-01-28,10.95
13,Los juegos del hambre,9788427202122,Suzanne Collins,Una joven lucha por sobrevivir en un torneo a muerte televisado.,Ciencia Ficción,Molino,400,Los juegos del hambre,2008-09-14,14.95
14,Gothic,9788408226017,Ruiz Zafón,Una misteriosa historia en la Barcelona del siglo XX.,Misterio,Planeta,500,No,2001-05-12,16.50
15,La sombra del viento,9788408163435,Carlos Ruiz Zafón,Un joven descubre un libro maldito que cambia su vida.,Misterio,Planeta,576,El Cementerio de los Libros Olvidados,2001-05-01,20.90
16,El gran Gatsby,9788497936590,F. Scott Fitzgerald,La obsesión de un millonario excéntrico por un amor del pasado.,Clásico,Debolsillo,192,No,1925-04-10,9.95
17,Matar a un ruiseñor,9788490628393,Harper Lee,Un abogado defiende a un hombre negro acusado injustamente.,Drama,Debolsillo,384,No,1960-07-11,11.95
18,El juego de Ender,9788498725353,Orson Scott Card,Un niño superdotado es entrenado para liderar una guerra espacial.,Ciencia Ficción,Ediciones B,368,Saga de Ender,1985-01-15,12.95
19,El Hobbit,9788445000656,J.R.R. Tolkien,Bilbo Bolsón viaja con enanos para recuperar un tesoro.,Fantasía,Minotauro,288,El Señor de los Anillos,1937-09-21,17.95
20,Drácula,9788467035544,Bram Stoker,El conde vampiro viaja a Inglaterra para sembrar el terror.,Terror,Espasa,480,No,1897-05-26,13.50
21,Frankenstein,9788467045154,Mary Shelley,Un científico crea vida a partir de restos humanos.,Terror,Espasa,304,No,1818-01-01,11.00
22,Un mundo feliz,9788499890951,Aldous Huxley,Una sociedad utópica controlada por la tecnología y la droga.,Distopía,Debolsillo,256,No,1932-01-01,9.95
23,Rebelión en la granja,9788499890937,George Orwell,Los animales de una granja se rebelan contra los humanos.,Sátira,Debolsillo,144,No,1945-08-17,8.95
24,La metamorfosis,9788420651347,Franz Kafka,Un hombre despierta convertido en un monstruoso insecto.,Ficción,Alianza,128,No,1915-10-01 warm,6.50
25,El alquimista,9788408130413,Paulo Coelho,Un pastor emprende un viaje para hallar su tesoro personal.,Fábula,Planeta,192,No,1988-01-01,14.95
26,Rayuela,9788439734062,Julio Cortázar,Una historia de amor y desamor que se puede leer en varios órdenes.,Clásico,Random House,600,No,1963-06-28,21.90
27,Pedro Páramo,9788437604183,Juan Rulfo,Un hombre viaja a Comala a buscar a su padre muerto.,Realismo Mágico,Cátedra,128,No,1955-07-18,10.50
28,La casa de los espíritus,9788466332859,Isabel Allende,El relato de cuatro generaciones de una familia chilena.,Realismo Mágico,Debolsillo,448,No,1982-01-01,11.95
29,Los pilares de la Tierra,9788401337314,Ken Follett,La construcción de una catedral medieval en el siglo XII.,Novela Histórica,Plaza & Janés,1040,Los pilares de la tierra,1989-09-01,24.90
30,El nombre de la rosa,9788466333016,Umberto Eco,Una serie de misteriosos asesinatos en una abadía benedictina.,Misterio,Debolsillo,784,No,1980-01-01,12.95
31,Ensayo sobre la ceguera,9788420442655,José Saramago,Una epidemia de ceguera blanca asola a toda una población.,Drama,Alfaguara,384,No,1995-01-01,17.95
32,La verdad sobre el caso Harry Quebert,9788420414034,Joël Dicker,Un escritor investiga la desaparición de una joven en 1975.,Thriller,Alfaguara,672,Marcus Goldman,2012-09-19,22.00
33,Los hombres que no amaban a las mujeres,9788423341016,Stieg Larsson,Un periodista y una hacker investigan una desaparición antigua.,Thriller,Destino,672,Millennium,2005-08-01,18.50
34,El Psicoanalista,9788413142272,John Katzenbach,Un terapeuta es amenazado de muerte por un psicópata del pasado.,Thriller,Ediciones B,528,El Psicoanalista,2002-01-01,13.95
35,Sapiens: De animales a dioses,9788499926223,Yuval Noah Harari,Una breve historia de la evolución de la humanidad.,Historia,Debate,496,No,2011-01-01,21.95
36,El diario de Ana Frank,9788497593069,Ana Frank,El testimonio real de una niña escondida durante el nazismo.,Biografía,Debolsillo,384,No,1947-06-25,8.95
37,Madame Bovary,9788415618416,Gustave Flaubert,Una mujer busca escapar del aburrimiento mediante el adulterio.,Clásico,Alba Editorial,496,No,1857-04-15,13.00
38,Ana Karenina,9788415618553,León Tolstói,Una trágica historia de amor y traición en la Rusia zarista.,Clásico,Alba Editorial,1008,No,1878-01-01,19.50
39,El retrato de Dorian Gray,9788467034172,Oscar Wilde,Un joven vende su alma para mantener la juventud eterna.,Clásico,Espasa,288,No,1990-06-20,11.50
40,Guerra y paz,9788415618607,León Tolstói,Las vidas de varias familias rusas durante las guerras napoleónicas.,Clásico,Alba Editorial,1200,No,1869-01-01,26.00
41,Las aventuras de Sherlock Holmes,9788491051565,Arthur Conan Doyle,Una colección de doce casos resueltos por el famoso detective.,Misterio,Debolsillo,368,Sherlock Holmes,1892-10-14,9.95
42,El silencio de los corderos,9788490626351,Thomas Harris,Una agente del FBI pide ayuda a un asesino caníbal preso.,Thriller,Debolsillo,416,Hannibal Lecter,1988-05-19,10.95
43,El resplandor de las luciérnagas,9788401343759,Paul Pen,Una familia vive encerrada en un sótano huyendo del exterior.,Thriller,Plaza & Janés,368,No,2013-05-09,16.90
44,Los miserables,9788491052678,Victor Hugo,Un exconvicto busca la redención en la Francia del siglo XIX.,Clásico,Debolsillo,1200,No,1862-04-03,15.95
45,Las crónicas de Narnia: El león la bruja y el armario,9788408062639,C.S. Lewis,Cuatro hermanos entran a un armario que lleva a un mundo mágico.,Fantasía,Destino,240,Las crónicas de Narnia,1950-10-16,13.95
46,Percy Jackson y el ladrón del rayo,9788498382365,Rick Riordan,Un joven descubre que es hijo del dios griego Poseidón.,Fantasía,Salamandra,288,Percy Jackson y los dioses del Olimpo,2005-06-28,14.50
47,Dune,9788497596824,Frank Herbert,Un joven noble lucha por el control de un codiciado planeta desértico.,Ciencia Ficción,Debolsillo,704,Dune,1965-08-01,12.95
48,Fundación,9788497593250,Isaac Asimov,Un científico predice la caída del imperio galáctico y crea un plan.,Ciencia Ficción,Debolsillo,256,Trilogía de la Fundación,1951-06-01,9.95
49,El conde de Montecristo,9788491051381,Alexandre Dumas,Un hombre busca venganza tras ser traicionado y encarcelado.,Aventuras,Debolsillo,1184,No,1844-08-28,16.95
50,Los tres mosqueteros,9788467035575,Alexandre Dumas,Un joven se une a tres guardias en misiones peligrosas.,Aventuras,Espasa,672,D'Artagnan,1844-03-01,14.90
51,La Odisea,9788424936457,Homero,El accidentado viaje de Ulises para regresar a su hogar tras la guerra.,Épico,Gredos,400,No,-800-01-01,25.00
52,La Ilíada,9788424936440,Homero,La furia de Aquiles durante el último año de la Guerra de Troya.,Épico,Gredos,500,No,-800-01-01,25.00
53,La divina comedia,9788420650982,Dante Alighieri,El viaje del autor a través del Infierno el Purgatorio y el Paraíso.,Poesía Épica,Alianza,600,No,1320-01-01,15.50
54,Cumbres borrascosas,9788415618195,Emily Brontë,La destructiva pasión amorosa entre Heathcliff y Catherine.,Clásico,Alba Editorial,416,No,1847-12-01,12.50
55,Moby Dick,9788491051510,Herman Melville,La obsesión de un capitán de barco por cazar una gran ballena blanca.,Aventuras,Debolsillo,736,No,1851-10-18,11.95
56,El retrato de una dama,9788415618645,Henry James,Una rica joven estadounidense enfrenta dilemas morales en Europa.,Clásico,Alba Editorial,672,No,1881-10-29,15.00
57,Dr. Jekyll y Mr. Hyde,9788420665481,Robert Louis Stevenson,Un médico crea una poción que libera su lado más perverso.,Misterio,Alianza,144,No,1886-01-05,7.50
